css-1jxf684 4,css-1jxf684 9,css-1jxf684 10
"I'm proud dad to 300,000 sons from all the world.

Shout out to my loyal fans from the U.S., Nigeria, India, South Africa, Kenya, Uganda, U.K., Canada, and New Zealand.

Let's stay connected. 

Please join our family on telegram:",3.8K,2M
"As a man, Normalize lying intentionally to anyone who asks too much about your private life.

Here is why...",308,19K
"There is no parent who wants to have an unemployed son, no woman who wants to marry an unemployed man, no son who wants an unemployed father, no sister who wants an unemployed brother. A man without money has no voice. Fix your finances before you try to fix the world.",319,10K
"Bro, lock in.",258,13K
"Dear son,",558,21K
I am on a journey to define who I am.,,
"2025 is going to be a ""finally, finally, finally God-did-it"" year. Keep showing up.",473,16K
"The smarter you get as a man, the more you realize that 1 minute of anger, greed, or lust can ruin 10 years of your hard work.",815,27K
"Go get your fucking confidence back. Dear son, Without it, you will fail miserably no matter how skilled or smart you are.",792,27K
"As a man, Normalize lying intentionally to anyone who asks too much about your private life.

Here is why...",310,19K
"Bro, lock in.",258,13K
"The smarter you get as a man, the more you realize that 1 minute of anger, greed, or lust can ruin 10 years of your hard work.",816,27K
Stay consistent. Stay disciplined. The results you’re dreaming of are closer than you think. One good good year can change your life. God rewards hard work.,364,15K
A girl who shows off her body in public to attract the attention of other men is not fit to be your wife son.,884,30K
"When a man sees too much, he becomes cautious.

When he knows too much, he becomes silent.

And when he understands too much, he becomes lonely.

Dear son, don't get this twisted.",913,27K
"Son, It costs $0.00 to respect everyone.",2.3K,56K
"Bro, lock in.",258,13K
"Dear son, today is tiring, and tomorrow will probably be tiring too. But just getting through each day is already amazing.",247,14K
"Brooooooo, believe me or not, Men do bounce back. From failed relationships, financial setbacks, toxic bonds, unemployment, from anyyyyyything. Unlike ""man,"" God will never let you down.",1.2K,37K
"Let it be between YOU and God. The world doesn't need to know - Mathew 6:6.

Enjoy your week.",423,19K
"No Risk, No Porsche.",2.1K,72K
Lock in son.,2.4K,73K
"In the next 6 months, hit the gym, talk to GOD, and get some money. That is it.",1.4K,40K
"Dear son,",3.6K,150K
"Dear son,",1K,50K
A boy becomes a man when he forgives everyone in his life and blames no one for his problems.,1.2K,40K
"If you marry a woman from a family where her father is highly respected by her mother and siblings, you've struck a goldmine. Never lose her",2K,60K
"Every man gets to a point in life when he understands that nobody is coming to save him. All he can do is disappear, do whatever it takes to make money and Fix his life.",706,28K
"IN 2025:

- Men born in 1994 will be 31
- Men born in 1995 will be 30
- Men born in 1996 will be 29
- Men born in 1997 will be 28
- Men born in 1998 will be 27
- Men born in 1999 will be 26
- Men born in 2000 will be 25

Be a man. You're not a kid anymore",7.9K,216K
Your mother is the closest being to God that you will ever have.,1.9K,69K
"You're not horny,
You're lonely.

You're not lonely,
You're depressed.

You're not depressed,
You lack purpose.

Dear son,

Men are happiest when they are improving themselves physically, mentally, and financially.

An idle man is a depressed man.",2.1K,53K
"You're a man,

Stop telling people about your problems.

Nobody cares.

Learn to survive, adapt, and thrive alone.",1.6K,44K
"as a man, the older i get, the more i understand the family member who kept distance from the rest of the family.",485,21K
"Oversharing is how you leak your magic. Dear son, Move in silence.",1.3K,42K
"You have 3 currencies:

1. Knowledge

2. Time

3. Money

Dear son, When you need 1, use the other 2 to get it.",1.7K,56K
"Dear son,",1.5K,69K
"stop imagining your future with every woman you find attractive. As a man, Lust is the final boss. once you defeat it, life unlocks",1.5K,52K
"Life is never complicated:

1. Hit the gym
2. Focus on your career
3. Always be respectful
4. Upgrade your wardrobe
5. Make new friends often
6. Surround yourself with high quality people",1.6K,50K
"If you see a hot girl and she doesn't like you. Cool. Another one will. If you have a job interview and they don't hire you. Cool. A better one is coming. Dear son, Stop living in scarcity. The world is a huge place with countless opportunities.",1K,35K
"Today in the morning, I came across this beautiful scripture: 1 Peter 5:7 ""Stop stressing yourself out. God knows what you are facing, and He will provide."" If God has been good to you, respond with Amen. Please.",7.2K,159K
"Dear son,",1.4K,47K
"Today in the morning, I came across this beautiful scripture: 1 Peter 5:7 ""Stop stressing yourself out. God knows what you are facing, and He will provide."" If God has been good to you, respond with Amen. Please.",7.3K,159K
"Brooooooo, confidence in public comes from discipline in private.",2.2K,66K
"Dear son,",1.5K,58K
You're a man. Fuck your tired body. Fuck your unmotivated mind. Just get out there and do it anyway. You're on your own.,5.6K,145K
"You’re seeing this post because you're in the process of getting everything you prayed for. Dear son, and when your deepest  prayer is answered, please keep your mouth shut.",2.1K,51K
I'm a man.,4.3K,150K
"Best money is silent money.

You don't need to impress anyone.

Win and Stfu.",5.9K,144K
"Turning 30 is a slippery slope. You’re only 3 years from 33, which is 7 years to 40. And bytheway, what's the one thing a man must understand by age 30 before it gets too late?",7.2K,605K
"Normalize ignoring women until you're rich, smart, and powerful.",9.2K,245K
Be a man.,4.9K,172K
"Dear son,",3.1K,112K
"You go to uni. 
You get a degree.
You get a job.

A high salary.
A nice house.
You can raise a family. 

Yes, you’re set.
And that’s true.

This works.
In the 1900s,
Not in 2025.

Dear son, Be wise",5.7K,204K
"Dear son,

Go to the gym,
Even if you’re tired.

Start that business,
Even if you’re poor.

Invest in education,
Even if you’re broke.

Approach that girl,
Even if you’re shy.

Do that work,
Even if you’re unmotivated.

You are a man,

Find a way to get things done.",2.7K,76K
"Dear son,",913,73K
"If God wants to build a boy into a man, he makes him feel depressed, broken, lonely, and tired. Dear son, please remain strong. Don’t break.",3.1K,92K
"Today, you could get hit by a car and die. After 3 weeks, everyone at work will forget you. In 2025, don't be mouthy. Don't brag. Do your job. Get paid. Go home. Dear son, Keep your private life to yourself.",3.1K,92K
"Dear son,

What's done is done. 
What's gone is gone .

Stop cheating on your future with your past. It Overrrrrrrr.",1.8K,58K
"Dear son,",3.6K,141K
"In 2025, the plan is to MOVE. Move out. Move on. Move forward. Move up. Move smarter.",884,48K
Bro... bro... bro... You’re getting distracted again. Remember the promises you made to yourself. Get back on track.,6K,173K
"Dear son,",8.5K,271K
"Dear son,",7.4K,212K
"Today, you could get hit by a car and die. After 3 weeks, everyone at work will forget you. In 2025, don't be mouthy. Don't brag. Do your job. Get paid. Go home. Dear son, Keep your private life to yourself.",,
"Dear son,",1.9K,62K
"Everyone, including your parents respect you more when they don’t see you often.",2.3K,84K
"Be a man,",3.1K,70K
"Dear son,",4.4K,128K
"I do not believe you’re ever fully “ready” for anything. Dear son, Sometimes, you just have to take a leap of faith and allow God to lead.  You’ll learn as you go.",921,41K
"Personally, I don't think death is the greatest loss in life.

I believe the greatest loss is what dies inside while we’re still alive.

The dreams, our passions, our hopes.

Keep the fire burning Son.",1.4K,46K
REPEAT AFTER ME: 2025 will be the best financial year of my life!,5.9K,159K
"That beautiful woman who carried you for 9 months, may she live long enough to witness your success, bro.",14K,261K
"Dear son,",4.5K,134K
"No joke, you’d be nothing without God.",9.6K,185K
I'm a man.,4K,100K
"having money in your savings but telling yourself, ""I'm broke"" is a different level of discipline, dear son.",4.6K,137K
"Never let anyone know exactly how much you earn, not even your close friends and family. Dear son, A man's power comes from money, silence, connections, and talking when necessary.",2.9K,85K
"When you bounce back this time, promise yourself to never repeat the same old shit.",8.5K,216K
"Dear son,",3.5K,108K
Never let your bro stand alone during his hard times.,2.9K,93K
Son... Son... Son... Lock in and fix your life. Accept the fact that NOBODY will save you. Your life is 100% your responsibility. Stop waiting for someone to spoon feed you.,1.2K,48K
"Dating is good, but dating a woman who draws you closer to God is so adorable.",3.9K,113K
Be a man.,8.3K,225K
"Brooooooo,",14K,382K
What's the one Regret that has affected your life the most?,,
"I'll start: 

Regret is tricky because every mistake teaches something. But if I had to pick one, it would be not starting sooner. Whether it’s learning, taking risks, or valuing the right people, time lost is the one thing you can’t get back.",116,16K
Son... Son...forgiving people silently and never talking to them ever again is the best form of self respect.,4.1K,131K
"Dear son,

A horny man can lose everything in a day.

1 minute of lust can ruin your whole life.

Success requires sexual discipline.

Control your sexual urges to win in life.",1.8K,76K
"Very soon, Lock in son.",31K,897K
"3 meals a day is overrated.

What ONE thing can we all agree is overrated?",1.7K,193K
"The gap between the life you want and the life you are living is called mindset, focus, and consistency.",3.5K,98K
Lock in.,22K,625K
"Shout out to all men out there pushing hard, battling with depression, pain, failure, rejection, loss, disrespect, loneliness, and heartbreaks alone. Personally, I'm proud of how hard you're trying. Things will get better. Never give up.",1.6K,59K
"And once you put in the work, pray and trust in God. He will never let you down.",513,31K
"Every man has to go through a phase in life where he values nothing. Only silence, his grind, and fixing himself.

Dear son, Get to that point.",2.9K,78K
"Be a man who has no desire to be seen, choose to be paid, harder to access, and keep a low profile.",2.6K,80K
"There are no blessings in helping strangers when your own wife and kids suffer. Dear son, Impress your home first before you impress the streets.",1K,38K
Bro to Bro: Try to marry a girl who likes her dad. It’s very important.,16K,446K
"Dear son, Be valuable, not available.",3.9K,117K
"Get addicted to getting up early, hitting the gym, eating healthy, and focusing on your goals.",3K,80K
Man to man: Ejaculation makes you weak. Staying horny makes you powerful. Only legends can understand.,19K,983K
"You're a man.

1. Have a clean haircut (Twice a month).
2. Dress well.
3. Smell nice.
4. Talk slow.

Amazing things can happen when you leave the house well dressed",10K,275K
"work: nothing 

work, work: nothing but momentum 

work, work, work: nothing, but you’re better. 

work, work, work, work: still nothing, but you’ve mastered your craft, and momentum is your side. 

work, work, work, work, work: BOOM! Success. 

keep working, brother.",839,34K
Your lack of urgency is killing your potential.,17K,502K
"Having your own money as a man and able to afford anything you want is the biggest flex. To every man fixing himself daily, with no connections, no rich relatives, and no handouts, may God open a door for you soon, dear son.",5.6K,136K
"Dear son,

Growth is painful. 

Change is painful. 

But nothing is as painful as staying stuck somewhere you don't belong.",757,29K
"Normalize Taking Any job to pay bills till your dream job comes along. Pride doesn't pay bills, dawg.",13K,306K
"Get rich, keep quiet. Invest, keep quiet. Go on a date, keep quiet. Hit a huge win, Keep quiet. Dear son, People hate seeing you doing better than them.",3.8K,121K
"Dear son,",3.2K,90K
"Eat clean, for YOU. 

Go for a run, for YOU.

Read that book, for YOU.

Open that business, for YOU.

Work hard every day, for YOU.

Start that new hobby, for YOU.

Because who the FUCK are they?????",2.1K,64K
"Whatever you do in this life, never complain to a woman about how hard your life is. Dear son, She'll give you sympathy followed by a loss of interest in you.",3.1K,110K
"Brooooooo, Please never give up on something you really want.",2.9K,92K
"Trust in God, bro.",4.8K,114K
"Dear son,",3.2K,103K
"Dear son,",,
"You want to teach people how to respect you? Dear son, Cut them off silently.",2.2K,107K
I'm a man.,4.2K,127K
"don't be surprised when things get good all of a sudden. You worked. You deserve it. Dear son, Enjoy.",3.6K,87K
"Having kids with the right woman is sooooo important, my boy.",3.1K,115K
"Dear son,",1.9K,66K
Son...son...son...The reason you feel sad inside is because you know you are not living up to your potential.,1.7K,70K
"As a man, the calmer you are, the clearer you think. Son, let your decision come from a place of peace, not from reaction.",2.2K,75K
"I have never seen any man rely on God and end up in shame. By His grace and mercy, 2025 will be a year of wins and celebrations. Claim it! Believe it! Receive it!",6.3K,143K
"Life goes on, bro.",720,49K
"You ain't a G until you lose it all, watch everything fall apart... Have the closest person switch up on you and still stand up, hold your head high, grind, take chances, and get it all back.",14K,555K
"Dear son,",6.7K,248K
"Because you've seen this tweet, may you succeed in everything you do this year. Dear son, affirm this now.",4.7K,102K
"Dear son,",4.7K,122K
"Son... Never allow yourself to become bitter, no matter how difficult your life becomes. A calm man under chaos is a leader.",2.4K,72K
"Dear son,",1.7K,86K
Nobody is more stressed than a man trying to get successful at a young age. May God give you a breakthrough soon.,4.6K,122K
"Dear son, 

When you’re pushing for something big, avoid having Sex,  especially if you’re not married . Sex blocks a lot of things .",2.4K,110K
"Dear son,

Only focus on money.

Being broke and not expecting money from anywhere is the darkest place a man can be.",2.2K,66K
Be a man.,6.6K,213K
"You're a man,

Don't forget, you can:

- Start at 30
- Fail at 35
- Start the wrong business
- Find your lane
- find the right path
- Start again at 40

And still, succeed.

Bro... bro... bro... Men do bounce back. From failed relationships, financial setbacks, toxic bonds,",2.8K,100K
"Dear son,",1.8K,79K
"Dear son,

For the next 6 months, 

Do everything to the extreme

• Work until your eyes burn
• Train till you collapse
• Write until the words blur
• Practice until fingers bleed

Build till dawn breaks

I promise something will click.

Give it a try.",3.3K,96K
"Calling her more than two times doesn't make the phone ring any louder. Dear son, Respect yourself.",1.8K,60K
"One day, I'll make it happen.",32K,927K
"Dear son,",4.5K,96K
You're a man. You can be depressed and still get things done. It's called being a man.,1.4K,57K
"Dear son,",698,36K
"You're a man. Stop, stop, stop. Please stop telling people what you're going through. No matter how stressful it is. Solve your problems alone. Sympathy is only for women and kids.

Not for men.",4.7K,143K
"Dear son,",,
"Dear son, Your future self needs you.",2.2K,54K
"Deep down, you know that there's a habit costing you the life you want to live. Dear son, it’s high time you cut it off.",2.2K,75K
You're a man. Kill the nice guy inside you. Minimize your kindness. This generation has no memory. Become ruthless or get crushed.,14K,404K
"Dear son,",23K,766K
"No matter how close you are with your colleagues, never discuss your personal matters at work. Neverrrrrrrrrrrrrrrrrrrr!!i",3.3K,86K
"Dear son,",1.7K,61K
"She can ignore you however she wants, but she can't ignore the fact You are the best man she ever got. Dear son, You are the prize.",6K,157K
"Dear son,",1.3K,45K
"None of us will be alive by 3025. You only have 36,500 days if you're lucky to live for 100 years. Be humble. Believe in God. Cherish every moment. Dear son, You won't last forever.",,
"Dear son,",3.8K,111K
"Man to man: Don't drink or eat where you didn't contribute. I repeat, don't. People talk too much.",2.5K,90K
"If you seek God during your good times, God will never forget you in your bad times.",2K,53K
God is sooooooo good.,933,46K
"My son,

Silence is impolite. 

Make small talk everywhere you go.

You never know what kind of connections you'll make.

 Life is too short to be shy.",2.3K,60K
"Son, Normalize walking some paths alone because goals are personal.",1.2K,49K
"The older you get, the more your body shows off your bad habits.

By the time you turn 30, you either look 25 or 40.",4.6K,150K
"Dear son,",14K,544K
What business are you into? Advertise yourself in the comment section. Let’s connect today.,1.1K,136K
"Young man, If your life is a mess you need to grind 18 hours a day, 7 days a week. No days off. Just God, hustle, eat, sleep.",1.4K,54K
"Dear son,

Sex is too spiritual.

Never give everyone your body.

Treat yourself with the respect you deserve.",1.1K,52K
"None of us will be alive by 3025. You only have 36,500 days if you're lucky to live for 100 years. Be humble. Believe in God. Cherish every moment. Dear son, You won't last forever.",2.9K,73K
"Dear son, lock in.",3.5K,160K
"Dear son,",2K,75K
"Dear son,

You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich. 
You Gonna Be Rich.

Don't let the when worry you.",4.4K,81K
"Dear son,",4K,103K
"Dear son,",,
"Dear son,",16K,468K
"Dear son, 

Your 20s are for learning.

Your 30s are for earning.

Your 40s are for owning.

Your 50s are for enjoying.",2.5K,95K
"Dear son,",,
"Son... son... son… If you lost everything in your life but gained God, You lost nothing.",1.6K,58K
"To all men who have conquered lust, what’s your secret? Please share.",3K,278K
As a man. Be silent. Go missing. Find clarity. Seek God. Be educated. Get money. Dress well. Stay humble. I promise you'll be unstoppable.,2.8K,71K
Not telling your close friends and family everything about yourself is the highest level of maturity as a man.,2.8K,72K
"Dear son,",1.3K,60K
A man ruins his life the moment he puts women and pleasure first instead of God and fixing himself.,2.5K,67K
"Dear son,",21K,583K
"Nobody will make sacrifices for you like ur mother. If your momma is alive, may she live long to witness your success, bro.",7K,130K
I'm a man.,1.6K,65K
"Dear son,",1K,43K
"After getting what you prayed for, ask for discipline to keep it, and the wisdom to make it grow.",7.6K,156K
"Believe me or not, any woman rejecting you is actually the universe protecting you.",1.2K,53K
"Dear son,",9.7K,172K
"Dear son,",1.8K,73K
"Nah, bro - You have what it takes. Stand, believe, and own it. Nobody will ever take away what God has already declared it's yours.",505,28K
"Chase God, Money, and fix your life, bro. Let everything else chase you.",716,36K
"You’re a man. No matter how bad things get, always be ready to reset, restrategize, restart, reform, rebuild, and find a way out without giving up.",2.1K,75K
"Brooooooo, only your pocket and  mama's prayers will save you. You're always on your own in this world.",,
"Dear son,

Nobody claps for discipline.

Nobody cheers for consistency.

But one day, everyone will notice.

Show up every day to fix your life. Do it alone. Do it broke. Do it tired. Do it scared. Just do it.",2.9K,84K
"Dear son,",20K,799K
Never disrespect a man when he is at his lowest. A man never forgets disrespect. It’s either buried deep in his heart or used as revenge.,3.3K,113K
"Dear son,",5.7K,150K
"A habit of praying every morning before you touch your phone can help set your mind on God throughout the day. Dear son, give it a try.",2.1K,50K
"As a man who wants to go far in life, speak nothing but greatness over your life. Self-talk is self-programming. Speak highly of yourself.",2.3K,70K
"if you could restart, refocus, reform, and rebuild yourself again, would you?",684,45K
"No porn, avoid sugar, drink water, run often, make money, pray daily, no distraction, start networking, develop skills, no partying, eat healthy.

Magic pill of life.",4.4K,134K
"My richest mentor told me... 

""I win more for one reason. I move fast. By the time most people are done analyzing, I've already made three mistakes and found a better way.""",1.9K,82K
There's no need to announce anything. Just pop out with a whole new life.,1K,42K
"A man who likes reading books and lifting weights in the gym has a different charm in his personality.

Dear son, Become that man.",1.5K,47K
"Brooooooo, only your pocket and  mama's prayers will save you. You're always on your own in this world.",2.6K,61K
"Dear son,",,
"Dear son, Keep going >>>",46K,1M
"One minute you’re broke, and the next minute, your cup starts running over with blessings. Son... son... son... Fix your relationship with God, and He will fix everything else for you.",7.3K,144K
"Please, please, please be very picky on who you allow in your circle. You will regret it if you relax your rules",1.1K,45K
"Dear son,",3.3K,104K
"At your Lowest, you realize alot. Trust me.",3.6K,114K
"Son,

Your mom wasn't rich, but you never slept hungry. She has sacrificed everything for you to be where you are today. 

Always take care of her.",4.8K,98K
"Dear son, 

One day you will look back and say, "" I made it.""

Lock in.",1.5K,45K
"Dear son,

No matter the situation you find yourself in, never accept help that comes with disrespect.",764,35K
A man who is healing ALONE is a dangerous person.,13K,354K
"You are poor because when it rains, you think about sex instead of farming.",17K,492K
"Dear son,",10K,327K
"5 events that changes a man's life;

1. Being broke.
2. A friend betraying him.
3. The death of his father.
4. Getting his heart broken.
5. Realizing nobody is coming to save him.",14K,450K
"Dear son,",20K,659K
"Once you realize that anything can happen; sickness, death, lose your job... Literally, anything in the blink of an eye, you become very humble. Tables turn, and that's how crazy life can get.

Dear son, Always pray, stay humble, and be thankful.",4.3K,117K
"Dear son,

Take your financial life very seriously. Make a lot of money. The world is veryyyy cruel to a poor man.",2.2K,60K
saving your wife from her 9-5 job is the ultimate flex.,42K,3.1M
No woman is hard to get. She is not interested in you. A woman who is interested in you will break every rule to be with you. Move on.,13K,369K
"normalize praying in the morning before you touch your phone. Prayers have the power to save you from a lot of things. Dear son, give it a try.",4.2K,82K
"You're a man.

Fuck your feelings.

Stick to the plan.

Every. Single. Day.",8.7K,232K
"lust is the final boss. once you defeat it, life unlocks. Dear son, Even the strongest man in the Bible was taken down by lust. Let that sink in.",1.9K,89K
"As a man, Your life is hard. Please don’t make it harder by dating a girl who brings drama, arguments, fights, and chaos into your life.",3.2K,116K
"Dear son,",27K,760K
"Appreciate where you are in life, even if it's not where you want to be. Dear son, Every season teaches you a lesson.",1.8K,56K
"Dear son,

Never be cheap when investing in yourself.

Buy yourself;

1. Quality clothes
2. Quality books
3. Quality food
4. Quality gym
5. Quality coaches

Cheap investment = cheap results.",3.1K,83K
Leaving her is better than begging her to be with you.,3.3K,101K
